Name,Rating,Genre,Release Date,Runtime,Director
Tom and Jerry Snowman's Land (2022),74.0,"Family,
Comedy,
Animation,
Adventure,",11/15/2022,1h 16m,Darrell Van Citters
The Lair (2022),60.0,"Action,
Horror,",11/24/2022,1h 33m,Neil Marshall
Dragon Ball Super: Super Hero (2022),80.0,"Animation,
Science Fiction,
Action,",08/26/2022,1h 39m,Tetsuro Kodama
Hellraiser (2022),65.0,"Horror,
Mystery,",10/07/2022,2h 1m,David Bruckner
"Tad, the Lost Explorer and the Emerald Tablet (2022)",78.0,"Adventure,
Animation,
Comedy,
Family,
Fantasy,",08/26/2022,1h 29m,Enrique Gato
Bullet Train (2022),75.0,"Action,
Comedy,
Thriller,",08/05/2022,2h 7m,David Leitch
The Soccer Football Movie (2022),65.0,"Animation,
Comedy,
Family,",11/09/2022,1h 14m,Mitch Schauer
M3GAN (2022),60.0,"Horror,
Science Fiction,
Thriller,",01/06/2023,1h 42m,Gerard Johnstone
Beast (2022),70.0,"Thriller,
Adventure,
Horror,",08/19/2022,1h 33m,Baltasar Kormákur
Sonic the Hedgehog 2 (2022),76.0,"Action,
Adventure,
Family,
Comedy,",04/08/2022,2h 2m,Jeff Fowler
MexZombies (2022),72.0,"Horror,
Action,
Comedy,",10/26/2022,1h 33m,Chava Cartas
Fullmetal Alchemist: The Final Alchemy (2022),62.0,"Action,
Adventure,
Fantasy,",06/24/2022,2h 23m,Fumihiko Sori
Enola Holmes 2 (2022),76.0,"Mystery,
Adventure,
Comedy,
Crime,",11/30/2022,2h 9m,Harry Bradbeer
Blue's Big City Adventure (2022),75.0,"Family,
Adventure,
Music,
Animation,",11/18/2022,1h 14m,Matt Stawski
Puss in Boots (2011),64.0,"Action,
Animation,
Adventure,
Comedy,
Family,",10/28/2011,1h 30m,Chris Miller
In the Forest (2022),61.0,"Horror,
Thriller,",01/28/2022,1h 23m,Hector Barron
Bones and All (2022),75.0,"Romance,
Drama,
Horror,",11/25/2022,2h 11m,Luca Guadagnino
The Banshees of Inisherin (2022),76.0,"Drama,
Comedy,",10/21/2022,1h 54m,Martin McDonagh
Beauty Salon: Special Services 4 (2020),38.0,"Romance,",05/04/2020,NA,NA
Orphan: First Kill (2022),68.0,"Horror,
Thriller,",10/17/2022,1h 39m,William Brent Bell
The Batman (2022),77.0,"Crime,
Mystery,
Thriller,",03/04/2022,2h 57m,Matt Reeves
Private Lesson (2022),68.0,"Comedy,
Romance,",12/16/2022,1h 29m,Kıvanç Baruönü
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train (2020),83.0,"Animation,
Action,
Adventure,
Fantasy,",08/13/2021,1h 57m,Haruo Sotozaki
Legend of the Galactic Heroes: Die Neue These - Intrigue 1 (2022),52.0,",",09/30/2022,NA,NA
Minions: The Rise of Gru (2022),75.0,"Animation,
Comedy,
Family,",07/01/2022,1h 27m,Kyle Balda
High Heat (2022),60.0,"Action,
Comedy,
Crime,",12/16/2022,1h 24m,Zach Golden
The Fabelmans (2022),80.0,"Drama,
Comedy,",11/23/2022,2h 31m,Steven Spielberg
The Infernal Machine (2022),68.0,"Thriller,
Mystery,",12/02/2022,1h 47m,Andrew Hunt
The Invitation (2022),64.0,"Horror,
Thriller,",08/26/2022,1h 45m,Jessica M. Thompson
